	60 min
	5 pts AAv smooth of "60"
4.54225352112676	3.888310962605E-5
4.55985915492958	3.82034360897908E-5
4.57746478873239	3.69461096369009E-5
4.59507042253521	3.61450088012286E-5
4.61267605633803	3.59645690096154E-5
4.63028169014085	3.65042331054072E-5
4.64788732394366	3.71170268917094E-5
4.66549295774648	3.72952798578279E-5
4.6830985915493	3.686981963168E-5
4.70070422535211	3.5992360730789E-5
4.71830985915493	3.4951007770171E-5
4.73591549295775	3.42940717390306E-5
4.75352112676056	3.38570245784877E-5
4.77112676056338	3.3554817005944E-5
4.7887323943662	3.33198052174711E-5
4.80633802816901	3.31576312119409E-5
4.82394366197183	3.32610403930856E-5
4.84154929577465	3.35260027391411E-5
4.85915492957747	3.38203500904949E-5
4.87676056338028	3.39601464062894E-5
4.8943661971831	3.39155621112477E-5
4.91197183098592	3.34736921272877E-5
4.92957746478873	3.24294700183559E-5
4.94718309859155	3.09884829070119E-5
4.96478873239437	2.98094573525791E-5
4.98239436619718	2.92180689945989E-5
5	2.93319652015843E-5
5.01760563380282	3.01628961425629E-5
5.03521126760563	3.10034748969452E-5
5.05281690140845	3.13803133657378E-5
5.07042253521127	3.16557729276059E-5
5.08802816901408	3.18627232235238E-5
5.1056338028169	3.19185770656906E-5
5.12323943661972	3.21366571925169E-5
5.14084507042254	3.22831869701206E-5
5.15845070422535	3.2391190999592E-5
5.17605633802817	3.40971381869501E-5
5.19366197183099	3.49533340202341E-5
5.2112676056338	3.52128247087315E-5
5.22887323943662	3.49465730378054E-5
5.24647887323944	3.41897770274099E-5
5.26408450704225	3.32914316205575E-5
5.28169014084507	3.44081117903901E-5
